iter	Logloss
0	0.6487950939
1	0.6084203124
2	0.575101828
3	0.5446751838
4	0.5176963409
5	0.4936142749
6	0.4737151128
7	0.4565505145
8	0.4396085145
9	0.4249409676
10	0.4121056149
11	0.4009646034
12	0.391317412
13	0.3828810244
14	0.3753795666
15	0.3682947373
16	0.3623328071
17	0.3565985689
18	0.3512893148
19	0.346947783
20	0.3433135753
21	0.3396807003
22	0.3367434351
23	0.3341636037
24	0.3315625931
25	0.3287049252
26	0.3260994928
27	0.3239785394
28	0.3218937605
29	0.3200671246
30	0.3186252603
31	0.3171876694
32	0.3157192099
33	0.3143397786
34	0.312956031
35	0.312013433
36	0.3111865847
37	0.310212692
38	0.3093505433
39	0.3082705091
40	0.3074068864
41	0.3067877855
42	0.3062453343
43	0.3057431146
44	0.3052181012
45	0.3045923719
46	0.3041655448
47	0.303441324
48	0.3028998723
49	0.3023115222
50	0.3017706742
51	0.3012935273
52	0.3007805824
53	0.3004949715
54	0.3000237087
55	0.2995291756
56	0.2991101776
57	0.2985346112
58	0.2981959297
59	0.2978848725
60	0.2976259691
61	0.2973431408
62	0.2969811343
63	0.2966126755
64	0.2964214185
65	0.2961066037
66	0.2957869468
67	0.295583921
68	0.2953356374
69	0.2950393647
70	0.2947903863
71	0.2946619048
72	0.2943950665
73	0.2942455673
74	0.2940616824
75	0.2938633187
76	0.2935903212
77	0.2934348136
78	0.2929828765
79	0.2927513621
80	0.2926019742
81	0.2923866028
82	0.2922453377
83	0.292038136
84	0.2919040645
85	0.2917865506
86	0.2916286924
87	0.2914300563
88	0.2913345395
89	0.2912164363
90	0.2911002818
91	0.2910415068
92	0.2909098174
93	0.2906719487
94	0.2905244376
95	0.2904297789
96	0.290279071
97	0.2902008098
98	0.2898896639
99	0.2897936749
100	0.289515839
101	0.2892535808
102	0.2891775179
103	0.2890333184
104	0.2889585411
105	0.2887479553
106	0.2884972432
107	0.2884286549
108	0.2883187388
109	0.2882361384
110	0.2881503711
111	0.2880897426
112	0.287833384
113	0.2877505367
114	0.2876474118
115	0.2874411859
116	0.2872836538
117	0.2872164517
118	0.2870263029
119	0.2868315215
120	0.2866993729
121	0.2865117611
122	0.2864644658
123	0.2863145706
124	0.2861708774
125	0.2859964355
126	0.2859703875
127	0.2858686231
128	0.2856675562
129	0.2855792535
130	0.2854752838
131	0.2853992069
132	0.2852349716
133	0.2850809573
134	0.285044917
135	0.2849337431
136	0.2848446396
137	0.2846879269
138	0.2846156248
139	0.2844926384
140	0.2843834529
141	0.2843028226
142	0.2841445527
143	0.2840638746
144	0.2838904768
145	0.2836805725
146	0.2835096733
147	0.2834372826
148	0.283328898
149	0.2832829601
150	0.2831777279
151	0.2831070336
152	0.2830055003
153	0.28295312
154	0.2829015771
155	0.2827791845
156	0.282623025
157	0.2825398235
158	0.282457797
159	0.2823484914
160	0.2822571651
161	0.2820850308
162	0.2819723365
163	0.2818897431
164	0.2818230382
165	0.2817753593
166	0.2816896284
167	0.2816319076
168	0.2815893852
169	0.2815439851
170	0.2814592446
171	0.2813852281
172	0.2812343056
173	0.2811667979
174	0.2811022067
175	0.2810366613
176	0.280934392
177	0.2808338435
178	0.2807443331
179	0.2806764383
180	0.2806147623
181	0.2805346965
182	0.2804352853
183	0.280370252
184	0.2802653206
185	0.2801966844
186	0.2801577959
187	0.2800574184
188	0.2800038129
189	0.2799631934
190	0.2799210686
191	0.2798641513
192	0.2798002615
193	0.2797372235
194	0.2796696572
195	0.279608537
196	0.2795521731
197	0.2794741483
198	0.2794094816
199	0.279377825
200	0.2792388982
201	0.2791876931
202	0.2791256807
203	0.2790160164
204	0.278969347
205	0.2789098994
206	0.2788580701
207	0.2788200643
208	0.2787587686
209	0.2787394578
210	0.2786954717
211	0.2785891496
212	0.2785120458
213	0.278448957
214	0.2784239239
215	0.2783487829
216	0.2782456419
217	0.2782012376
218	0.2781337424
219	0.278055451
220	0.2780150478
221	0.2779413566
222	0.2779065695
223	0.2778311499
224	0.2777788926
225	0.2777225204
226	0.2776334785
227	0.2775898345
228	0.2775124971
229	0.2774553866
230	0.2773789162
231	0.2773310714
232	0.2772771823
233	0.2771811683
234	0.2771133263
235	0.2770534018
236	0.2769691575
237	0.2768994463
238	0.27683909
239	0.2767708214
240	0.2766708668
241	0.2765898654
242	0.2765238863
243	0.276499703
244	0.2764391725
245	0.2763653664
246	0.2762774336
247	0.2762134888
248	0.2761607116
249	0.2760910806
250	0.2760161848
251	0.2759778925
252	0.2759221331
253	0.2758733331
254	0.2758366432
255	0.275783146
256	0.2757324593
257	0.2757002633
258	0.275661516
259	0.2756034208
260	0.2755456313
261	0.2754950551
262	0.2754246357
263	0.2752920021
264	0.2752421862
265	0.2752051022
266	0.2751537061
267	0.2750872156
268	0.2750364914
269	0.2749594743
270	0.2748732809
271	0.2748294686
272	0.2747517925
273	0.2747181612
274	0.2746731014
275	0.2746141383
276	0.2745640276
277	0.2745029036
278	0.2743955127
279	0.2743481241
280	0.2742960035
281	0.2742231891
282	0.2741645225
283	0.2740879261
284	0.2740474458
285	0.2740084759
286	0.2739526892
287	0.2739058433
288	0.2738605903
289	0.273807787
290	0.2737566401
291	0.2737302296
292	0.2736642977
293	0.2736261815
294	0.2735604576
295	0.2735052354
296	0.2734793773
297	0.2734253916
298	0.2733734679
299	0.2733321614
