iter	Passed	Remaining
0	160	48032
1	167	25018
2	176	17480
3	183	13588
4	191	11281
5	198	9743
6	205	8617
7	212	7756
8	219	7095
9	226	6576
10	233	6146
11	242	5816
12	249	5509
13	257	5262
14	264	5028
15	273	4849
16	279	4658
17	287	4506
18	295	4365
19	304	4265
20	312	4146
21	322	4076
22	331	3994
23	342	3933
24	352	3873
25	362	3825
26	371	3751
27	378	3672
28	387	3620
29	395	3558
30	403	3499
31	411	3444
32	419	3390
33	426	3339
34	434	3291
35	442	3246
36	450	3201
37	458	3159
38	466	3120
39	473	3079
40	481	3041
41	490	3011
42	498	2980
43	506	2947
44	513	2910
45	520	2874
46	526	2834
47	534	2808
48	540	2770
49	548	2741
50	555	2712
51	564	2692
52	572	2668
53	580	2646
54	588	2619
55	596	2597
56	602	2569
57	609	2544
58	617	2522
59	624	2498
60	632	2477
61	639	2455
62	647	2437
63	655	2416
64	662	2395
65	670	2376
66	677	2354
67	684	2336
68	692	2316
69	699	2299
70	706	2279
71	714	2262
72	721	2243
73	728	2225
74	735	2205
75	742	2188
76	749	2170
77	756	2151
78	763	2135
79	770	2119
80	777	2103
81	785	2087
82	792	2072
83	800	2058
84	807	2043
85	814	2026
86	821	2011
87	828	1995
88	834	1978
89	841	1964
90	848	1949
91	855	1935
92	863	1921
93	869	1905
94	877	1894
95	886	1883
96	895	1873
97	902	1859
98	910	1848
99	917	1835
100	924	1820
101	929	1805
102	937	1792
103	943	1778
104	950	1766
105	959	1756
106	967	1745
107	974	1733
108	982	1722
109	990	1710
110	998	1699
111	1005	1687
112	1013	1677
113	1022	1667
114	1029	1656
115	1037	1646
116	1045	1635
117	1053	1624
118	1062	1615
119	1069	1603
120	1076	1592
121	1084	1581
122	1091	1571
123	1100	1561
124	1108	1551
125	1116	1541
126	1124	1531
127	1133	1522
128	1141	1513
129	1149	1503
130	1157	1492
131	1165	1483
132	1172	1472
133	1180	1462
134	1187	1451
135	1195	1441
136	1202	1431
137	1210	1420
138	1218	1410
139	1225	1400
140	1233	1391
141	1241	1381
142	1249	1371
143	1256	1361
144	1264	1351
145	1271	1341
146	1279	1331
147	1286	1321
148	1294	1311
149	1301	1301
150	1312	1295
151	1328	1293
152	1339	1286
153	1347	1277
154	1355	1267
155	1363	1258
156	1371	1248
157	1379	1239
158	1386	1229
159	1394	1220
160	1402	1210
161	1410	1201
162	1418	1192
163	1427	1183
164	1437	1175
165	1446	1167
166	1453	1157
167	1462	1148
168	1470	1140
169	1478	1130
170	1486	1121
171	1494	1112
172	1503	1103
173	1511	1094
174	1519	1085
175	1526	1075
176	1535	1066
177	1543	1057
178	1551	1048
179	1558	1039
180	1566	1029
181	1574	1020
182	1581	1011
183	1591	1003
184	1600	994
185	1612	988
186	1622	980
187	1634	973
188	1642	964
189	1652	956
190	1660	947
191	1672	940
192	1680	931
193	1692	924
194	1703	917
195	1712	908
196	1723	901
197	1738	895
198	1748	887
199	1757	878
200	1769	871
201	1778	862
202	1788	854
203	1797	846
204	1806	837
205	1816	829
206	1824	819
207	1836	812
208	1845	803
209	1854	794
210	1860	784
211	1864	774
212	1870	764
213	1877	754
214	1884	745
215	1893	736
216	1902	727
217	1913	719
218	1926	712
219	1935	703
220	1945	695
221	1956	687
222	1962	677
223	1972	669
224	1980	660
225	1990	651
226	1998	642
227	2008	634
228	2017	625
229	2025	616
230	2033	607
231	2041	598
232	2050	589
233	2058	580
234	2068	572
235	2076	563
236	2088	555
237	2096	546
238	2106	537
239	2116	529
240	2124	520
241	2135	511
242	2142	502
243	2155	494
244	2166	486
245	2175	477
246	2187	469
247	2198	461
248	2207	452
249	2220	444
250	2234	436
251	2243	427
252	2252	418
253	2264	410
254	2273	401
255	2293	394
256	2302	385
257	2312	376
258	2321	367
259	2332	358
260	2340	349
261	2351	341
262	2361	332
263	2369	323
264	2380	314
265	2390	305
266	2401	296
267	2412	288
268	2419	278
269	2429	269
270	2438	260
271	2448	252
272	2457	243
273	2465	233
274	2474	224
275	2482	215
276	2492	206
277	2501	197
278	2511	189
279	2520	180
280	2529	171
281	2539	162
282	2549	153
283	2559	144
284	2568	135
285	2579	126
286	2587	117
287	2597	108
288	2610	99
289	2620	90
290	2629	81
291	2638	72
292	2646	63
293	2655	54
294	2663	45
295	2670	36
296	2678	27
297	2686	18
298	2694	9
299	2702	0
